participantID,seq,exp,nSamples,medianVal,maxVal
05-9U8B,29,38,1905,212.164132984172,383.849491194879
05-9U8B,30,1,1906,221.769158302023,349.190453194185
05-9U8B,31,39,1907,209.681181531984,322.029730153818
05-9U8B,32,31,1906,201.765255343963,317.400266530672
05-9U8B,33,17,1904,223.566210845983,397.002048827927
05-9U8B,34,36,1906,219.298107905886,359.731504457162
05-9U8B,35,10,1904,231.897718584729,357.830569653538
05-9U8B,36,32,1905,228.751728635836,397.471221832096
05-9U8B,37,18,1906,234.890141700188,385.705729539201
05-9U8B,38,3,1906,234.259191953151,353.22359212915
06-9UA7,1,6,1906,285.183048801966,369.588875992202
06-9UA7,2,27,1905,269.976949103173,367.7429246645
06-9UA7,3,9,1905,247.65480149341,371.104892647566
06-9UA7,4,30,1905,248.406441067907,356.031741095834
06-9UA7,5,20,1905,249.759845829045,340.391601514872
06-9UA7,6,34,1904,253.145993941231,327.696599237412
06-9UA7,7,7,1907,230.946762886057,333.669135998889
06-9UA7,8,24,1904,239.616835031663,308.157506829443
06-9UA7,9,5,1904,239.228692133733,323.133532505453
06-9UA7,10,15,1904,264.028119021955,344.405303168863
06-9UA7,11,13,1904,265.614608118669,353.506795707061
06-9UA7,12,37,1904,254.984939521985,330.380931916594
06-9UA7,13,33,1905,248.531302453247,343.877142744839
