normalization,subjectID,markerGroup,emotion,fullMedian,microMedian
absolute,LE2202,HEAD,SAD,74.115554416121,24.4326797937852
absolute,LE2202,UPPER_LIMB_L,NEUTRAL,70.4366598678494,16.451891673335
absolute,LE2202,UPPER_LIMB_L,DISGUST,86.242202643798,24.8737465643253
absolute,LE2202,UPPER_LIMB_L,FEAR,21.4499527139176,13.9352339475386
absolute,LE2202,UPPER_LIMB_L,JOY,54.2660883367143,23.4176691310414
absolute,LE2202,UPPER_LIMB_L,SAD,55.5171963542966,23.7361276665094
absolute,LE2202,UPPER_LIMB_R,NEUTRAL,66.0463805926295,18.465403569287
absolute,LE2202,UPPER_LIMB_R,DISGUST,63.8775385365975,24.5903556867871
absolute,LE2202,UPPER_LIMB_R,FEAR,20.3865135579189,14.4646351598225
absolute,LE2202,UPPER_LIMB_R,JOY,55.8584864070966,21.4765542252201
absolute,LE2202,UPPER_LIMB_R,SAD,45.3304356083941,20.1482904112616
absolute,LE2202,LOWER_LIMB_L,NEUTRAL,20.775207464092,9.98519350157579
absolute,LE2202,LOWER_LIMB_L,DISGUST,21.2087366725433,13.0161514143636
absolute,LE2202,LOWER_LIMB_L,FEAR,7.6327146256163,6.32761893256805
absolute,LE2202,LOWER_LIMB_L,JOY,18.6311454772413,11.3651225241538
absolute,LE2202,LOWER_LIMB_L,SAD,14.1673894535867,10.6037404798307
absolute,LE2202,LOWER_LIMB_R,NEUTRAL,15.1834956852413,8.64144502551115
absolute,LE2202,LOWER_LIMB_R,DISGUST,14.8036938783486,9.97848452807883
absolute,LE2202,LOWER_LIMB_R,FEAR,5.99005907507496,5.07485765757746
absolute,LE2202,LOWER_LIMB_R,JOY,13.9366268585562,8.24848369187814
absolute,LE2202,LOWER_LIMB_R,SAD,10.4876188204621,7.41134403002567
absolute,LE2202,WRIST_L,NEUTRAL,81.0470322752951,20.0197152803862
absolute,LE2202,WRIST_L,DISGUST,99.2946702002501,26.3119435723081
absolute,LE2202,WRIST_L,FEAR,21.4993090391465,14.3850772210572
absolute,LE2202,WRIST_L,JOY,62.9150499492347,26.9383527487486
absolute,LE2202,WRIST_L,SAD,60.4173243237007,24.8533209874188
absolute,LE2202,WRIST_R,NEUTRAL,73.22802820336,18.8261020411367
absolute,LE2202,WRIST_R,DISGUST,77.1833833203192,24.1040056800296
