participantID,seq,exp,nSamples,medianVal,maxVal
11-9UIZ,23,3,500,19.1734715966425,25.0189559800447
11-9UIZ,24,39,500,21.0878806377765,33.3735835248909
11-9UIZ,25,24,500,20.8639887219051,25.4922868945881
11-9UIZ,26,37,500,22.1862374875389,35.1335081171921
11-9UIZ,27,31,500,20.858532300697,32.3498166150553
11-9UIZ,28,20,500,20.0273336198612,32.7416106811794
11-9UIZ,29,23,500,19.5279563394251,25.3265035005491
11-9UIZ,30,15,500,22.7700156116973,27.1929543076894
11-9UIZ,31,25,500,22.452805866666,37.771104118128
11-9UIZ,32,7,500,19.8947233348772,23.8422698057948
11-9UIZ,33,34,500,21.2264455581974,34.5815274366713
11-9UIZ,34,17,500,20.7806008577465,32.5672850324712
11-9UIZ,35,10,500,20.226728208645,24.2330168417311
11-9UIZ,36,36,500,22.3142030140184,26.3531013794176
11-9UIZ,37,27,500,20.0599939849663,44.0571368978873
